CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"1133090",2527,835,224,18,5,0
"1133091",2528,0,0,0,0,0
"1133092",2529,806,64,4,8,0
"1133093",2530,7,0,0,0,0
"1133094",2531,1,0,0,0,0
"1133095",2532,1133,429,20,5,0
"1133096",2533,1293,484,22,5,0
"1133097",2534,99,1,0,0,0
"1133098",2535,144,4,0,0,0
"1133099",2536,144,9,1,2,0
"11330a4",2537,1,0,0,0,0
"11330a6",2538,0,0,0,0,0
"11330c4",2539,0,0,0,0,0
"11330t4",2540,3,1,0,0,0
"11330t6",2541,0,0,0,0,0
"1133100",2542,1302,379,15,6,0
"1133101",2543,466,159,2,1,0
"1133102",2544,1579,319,22,10,0
"1133103",2545,1787,349,18,8,0
"1133104",2546,1506,380,9,5,0
"1133105",2547,1322,481,14,3,0
"1133106",2548,2005,457,28,11,0
"1133107",2549,1596,237,8,11,0
"1133108",2550,1028,703,27,4,0
"1133109",2551,1591,1176,33,6,0
"1133110",2552,1855,307,21,11,0
"1133111",2553,1,6,0,0,0
"1133112",2554,19,6,0,0,0
"1133113",2555,5,0,0,0,0
"1133114",2556,2,2,0,0,0
"1133115",2557,1283,321,7,7,0
"1133116",2558,5,1,0,0,0
"1133117",2559,46,12,0,0,0
"1133119",2560,0,0,0,0,0
"11331a4",2561,0,0,0,0,0
"11331a5",2562,0,0,0,0,0
"1133200",2563,1028,667,14,7,0
"1133201",2564,730,508,11,4,0
"1133202",2565,1129,382,14,10,0
"1133203",2566,991,407,7,5,0
"1133204",2567,1101,541,20,6,0
"1133205",2568,1114,155,12,5,0
"1133206",2569,1018,733,12,8,0
"1133207",2570,1132,673,20,11,0
"1133208",2571,797,368,9,3,0
"1133209",2572,75,61,3,0,0
"1133210",2573,933,525,18,7,0
"1133211",2574,532,216,16,4,0
"11332a0",2575,0,0,0,0,0
"11332a1",2576,0,0,0,0,0
"11332c1",2577,0,0,0,0,0
"11332t0",2578,0,0,0,0,0
"11332t1",2579,0,0,0,0,0
"1133304",2580,1052,873,15,11,0
"1133305",2581,1577,1228,33,14,0
"1133306",2582,601,423,12,1,0
"1133307",2583,757,386,8,7,0
"1133308",2584,772,482,14,11,0
"1133309",2585,819,581,8,6,0
"1133310",2586,875,816,22,10,0
"1133311",2587,741,744,13,3,0
"1133312",2588,1334,847,26,8,0
"1133313",2589,1637,678,17,10,0
"1133314",2590,1677,734,12,7,0
"1133315",2591,572,281,10,4,0
"1133316",2592,1136,792,12,4,0
"1133317",2593,987,371,6,5,0
"1133318",2594,704,392,8,8,0
"1133319",2595,41,17,0,0,0
"1133321",2596,0,0,0,0,0
"1133325",2597,970,401,12,7,0
"1133327",2598,1,0,0,0,0
"1133328",2599,9,7,0,0,0
"1133500",2600,1014,1786,22,4,0
"1133501",2601,2,6,0,0,0
"1133503",2602,374,662,10,2,0
"1133504",2603,187,331,3,1,0
"1133600",2604,1378,256,9,10,0
"1133601",2605,1324,288,9,8,0
"1133602",2606,430,79,2,3,0
"1133603",2607,172,44,2,0,0
"1133604",2608,1644,365,10,10,0
"1133605",2609,1379,230,6,9,0
"1133606",2610,1551,160,13,9,0
"1133607",2611,2714,326,15,11,0
"1133608",2612,2306,157,12,7,0
"1133609",2613,2004,372,17,5,0
"1133610",2614,278,107,5,1,0
"1133611",2615,600,209,8,2,0
"1133612",2616,1980,304,17,11,0
"1133613",2617,358,123,0,5,0
"1133614",2618,601,67,4,2,0
"1133615",2619,1649,198,11,3,0
"1133616",2620,397,53,5,3,0
"1133617",2621,1690,123,5,5,0
"1133618",2622,375,39,1,3,0
"1133619",2623,106,56,1,1,0
"1133620",2624,886,127,3,4,0
"1133621",2625,405,71,1,1,0
"1133701",2626,0,4,0,0,0
"1133702",2627,0,0,0,0,0
"1133800",2628,3014,215,20,11,0
"1133801",2629,194,50,0,0,0
"1133802",2630,2332,242,14,12,0
"1133803",2631,2180,216,4,6,0
"1133805",2632,3149,242,18,16,0
"1133806",2633,661,46,4,5,0
"1133807",2634,1512,244,12,5,0
"1133808",2635,1943,822,21,8,0
"1133809",2636,186,40,0,1,0
"1133900",2637,1927,320,12,13,0
"1133920",2638,630,883,15,7,0
"1133921",2639,1631,1320,15,12,0
"1133922",2640,39,9,2,0,0
"1133940",2641,897,381,11,18,0
"1133950",2642,987,281,11,6,0
"1133951",2643,1620,275,9,10,0
"1133952",2644,85,14,0,1,0
"1133960",2645,1214,1304,28,12,0
"1133961",2646,977,917,25,5,0
"1133962",2647,1619,1804,33,2,0
"1133963",2648,889,970,20,9,0
"1133964",2649,788,749,22,7,0
"1133965",2650,1238,1180,36,9,0
"1133966",2651,1335,1233,29,12,0
"1133967",2652,479,514,8,3,0
"1133968",2653,1302,1375,30,12,0
"1133969",2654,818,1416,16,5,0
"1133970",2655,1070,1525,26,4,0
"1133971",2656,985,1011,29,5,0
"1133980",2657,1131,1470,32,4,0
"1133981",2658,426,789,15,7,0
"1133982",2659,1049,1457,31,10,0
"1133983",2660,632,876,18,6,0
"1133984",2661,447,570,10,1,0
"1134000",2662,188,77,2,1,0
"1134001",2663,582,158,7,5,0
"1134002",2664,502,278,13,2,0
"1134003",2665,154,36,1,1,0
"1134004",2666,814,283,8,6,0
"1134005",2667,417,180,6,6,0
"1134006",2668,628,307,8,0,0
"1134007",2669,113,61,1,0,0
"1134008",2670,248,55,6,1,0
"1134009",2671,700,175,7,9,0
"1134010",2672,674,378,13,3,0
"1134011",2673,393,110,6,2,0
"1134012",2674,37,26,0,0,0
"1134013",2675,138,124,2,0,0
"1134014",2676,800,760,21,2,0
"1134015",2677,884,249,11,4,0
"1134016",2678,936,215,13,2,0
"1134017",2679,254,117,2,3,0
"1134018",2680,546,306,7,1,0
"1134019",2681,1467,286,19,4,0
"1134020",2682,522,163,7,2,0
"1134021",2683,1440,292,15,7,0
"1134022",2684,768,173,16,3,0
"1134023",2685,1,1,0,0,0
"1134024",2686,1025,151,15,10,0
"1134025",2687,196,13,4,1,0
"1134026",2688,73,13,0,1,0
"1134027",2689,143,37,2,1,0
"1134028",2690,509,38,4,2,0
"1134029",2691,5,2,0,0,0
"1134030",2692,13,2,0,0,0
"1134031",2693,1099,96,5,6,0
"1134033",2694,1086,391,19,5,0
"1134035",2695,692,104,4,3,0
"1134036",2696,435,61,2,2,0
"1134037",2697,96,21,2,1,0
"1134038",2698,1042,114,8,8,0
"1134039",2699,282,28,0,0,0
"1134040",2700,365,28,3,7,0
"1134041",2701,293,27,4,3,0
"1134043",2702,616,82,4,7,0
"1134044",2703,519,62,2,5,0
"1134046",2704,592,65,5,8,0
"1134047",2705,412,29,1,5,0
"1134048",2706,1,6,1,0,0
"1134049",2707,0,0,0,0,0
"1134050",2708,2298,661,28,14,0
"1134051",2709,1,0,0,0,0
"1134052",2710,1949,590,23,8,0
"1134053",2711,220,64,0,2,0
"1134054",2712,241,62,1,1,0
"1134055",2713,1176,332,12,10,0
"1134056",2714,1345,219,5,10,0
"1134057",2715,776,190,10,4,0
"1134058",2716,443,134,5,0,0
"1134059",2717,186,45,4,1,0
"1134060",2718,1053,236,10,7,0
"1134061",2719,1033,282,9,13,0
"1134062",2720,827,208,9,9,0
"1134063",2721,1478,358,14,8,0
"1134065",2722,310,91,4,3,0
"1134066",2723,461,145,4,6,0
"1134067",2724,901,237,14,5,0
"1134068",2725,890,230,7,8,0
"1134069",2726,1457,322,19,11,0
"1134070",2727,701,164,10,4,0
"1134071",2728,158,37,2,0,0
"1134072",2729,139,27,0,0,0
"1134073",2730,798,220,12,1,0
"1134074",2731,1537,357,25,2,0
"1134075",2732,522,113,4,5,0
"1134076",2733,1310,355,13,6,0
"1134077",2734,619,108,6,12,0
"1134078",2735,1084,228,17,6,0
"1134079",2736,2246,697,34,11,0
"1134080",2737,377,197,12,1,0
"1134081",2738,1418,279,7,12,0
"1134082",2739,942,188,10,6,0
"1134083",2740,746,178,8,2,0
"1134084",2741,281,50,1,3,0
"1134085",2742,398,102,2,4,0
"1134086",2743,1361,310,9,8,0
"1134087",2744,379,82,5,3,0
"1134088",2745,177,39,2,0,0
"1134090",2746,36,17,1,0,0
"1134091",2747,0,0,0,0,0
"1134092",2748,85,29,2,1,0
"1134093",2749,54,1,1,0,0
"1134094",2750,239,95,1,2,0
"1134095",2751,20,12,0,0,0
"1134096",2752,2,7,0,0,0
"1134097",2753,451,182,9,2,0
"1134098",2754,25,12,0,0,0
"1134099",2755,537,466,8,3,0
"11340a2",2756,0,0,0,0,0
"11340a3",2757,0,0,0,0,0
"1134100",2758,15,2,0,0,0
"1134101",2759,55,6,0,0,0
"1134107",2760,65,9,0,0,0
"1134108",2761,27,2,0,0,0
"1134109",2762,32,3,0,0,0
"1134110",2763,477,25,3,4,0
"1134111",2764,145,48,2,1,0
"1134112",2765,25,57,5,0,0
"1134113",2766,875,279,11,11,0
"1134114",2767,730,199,8,6,0
"1134115",2768,205,63,4,0,0
"1134116",2769,0,0,0,0,0
"1134117",2770,17,12,0,0,0
"1134118",2771,0,0,0,0,0
"1134119",2772,2,2,0,0,0
"1134120",2773,261,41,2,1,0
"1134122",2774,0,0,0,0,0
"1134125",2775,0,0,0,0,0
"1134126",2776,625,681,11,2,0
"1134127",2777,169,250,5,0,0
"1134128",2778,512,596,14,1,0
"1134129",2779,597,870,14,0,0
"1134130",2780,749,681,14,0,0
"1134131",2781,1043,213,13,4,0
"1134135",2782,792,175,13,2,0
"1134141",2783,81,25,0,0,0
"1134143",2784,77,8,1,0,0
"1134145",2785,0,0,0,0,0
"1134147",2786,21,5,0,0,0
"1134149",2787,35,9,1,0,0
"1134152",2788,0,0,0,0,0
"1134153",2789,150,46,2,1,0
"1134157",2790,124,35,1,1,0
"1134161",2791,434,134,6,1,0
"1134166",2792,0,0,0,0,0
"11341a1",2793,0,0,0,0,0
"1134300",2794,581,224,10,7,0
"1134500",2795,1051,597,7,7,0
"1134501",2796,953,613,21,5,0
"1134502",2797,1646,847,24,10,0
"1134503",2798,2200,888,21,15,0
"1134504",2799,572,354,4,5,0
"1134505",2800,810,533,9,8,0
"1134506",2801,493,352,11,9,0
"1134507",2802,542,79,5,3,0
"1134508",2803,208,136,6,2,0
"1134509",2804,457,499,7,3,0
"1134510",2805,776,421,14,4,0
"1134511",2806,627,397,9,7,0
"1134512",2807,406,387,10,5,0
"1134513",2808,987,451,10,10,0
"1134514",2809,462,405,10,4,0
"1134515",2810,763,328,13,6,0
"1134516",2811,15,3,0,0,0
"1134517",2812,1040,1186,35,11,0
"1134518",2813,718,477,10,4,0
"1134519",2814,1447,942,16,8,0
"1134520",2815,381,205,3,5,0
"1134521",2816,1730,1197,26,10,0
"1134522",2817,1678,899,28,10,0
"1134523",2818,300,146,3,2,0
"1134525",2819,555,258,8,9,0
"1134527",2820,575,316,12,7,0
"1134528",2821,0,0,0,0,0
"1134529",2822,327,205,5,3,0
"1134530",2823,124,25,4,0,0
"1134531",2824,155,189,3,3,0
"1134532",2825,107,84,3,1,0
"1134533",2826,435,243,6,4,0
"1134534",2827,38,10,0,0,0
"1134535",2828,330,168,3,4,0
"1134536",2829,18,10,0,0,0
"1134537",2830,3,0,0,0,0
"1134538",2831,353,161,7,4,0
"1134539",2832,0,0,0,0,0
"1134541",2833,0,0,0,0,0
"1134542",2834,0,0,0,0,0
"1134554",2835,16,16,0,0,0
"1134555",2836,10,9,0,0,0
"1134557",2837,0,0,0,0,0
"1134558",2838,0,0,0,0,0
"1134559",2839,0,0,0,0,0
"1134600",2840,883,770,22,0,0
"1134601",2841,1326,1273,25,13,0
"1134602",2842,720,567,14,4,0
"1134603",2843,21,8,0,0,0
"1134604",2844,1047,782,15,3,0
"1134605",2845,864,688,13,5,0
"1134606",2846,1010,726,25,4,0
"1134607",2847,667,419,15,5,0
"1134608",2848,1578,668,23,16,0
"1134609",2849,834,252,11,8,0
"1134610",2850,761,745,21,4,0
"1134611",2851,592,443,8,5,0
"1134612",2852,114,108,2,2,0
"1134613",2853,319,113,3,3,0
"1134614",2854,150,218,11,1,0
"1134615",2855,76,57,0,0,0
"1134616",2856,483,287,7,1,0
"1134617",2857,67,55,1,0,0
"1134618",2858,176,125,3,0,0
"1134619",2859,445,504,9,1,0
"1134620",2860,588,477,13,5,0
"1134621",2861,1741,501,23,15,0
"1134622",2862,760,514,16,6,0
"1134623",2863,988,580,12,9,0
"1134624",2864,621,476,9,11,0
"1134625",2865,820,711,17,3,0
"1134626",2866,1012,993,18,5,0
"1134627",2867,1833,1128,47,5,0
"1134628",2868,972,239,18,8,0
"1134629",2869,571,273,5,3,0
"1134630",2870,558,532,12,1,0
"1134631",2871,464,406,12,4,0
"1134632",2872,893,374,6,5,0
"1134633",2873,444,170,6,4,0
"1134634",2874,1510,1141,26,8,0
"1134639",2875,254,128,4,1,0
"1134640",2876,1264,455,20,11,0
"1134641",2877,215,146,5,1,0
"1134642",2878,50,44,0,2,0
"1134644",2879,7,2,0,0,0
"1134646",2880,174,161,4,2,0
"1134648",2881,1072,346,10,5,0
"1134649",2882,37,11,0,1,0
"1134651",2883,18,6,1,0,0
"1134652",2884,289,125,3,5,0
"1134653",2885,32,13,0,0,0
"1134654",2886,417,259,3,5,0
"1134655",2887,6,41,0,0,0
"1134656",2888,59,25,0,0,0
"1134657",2889,33,13,0,1,0
"1134658",2890,27,29,1,0,0
"1134659",2891,91,51,1,1,0
"1134660",2892,14,9,0,0,0
"1134661",2893,380,140,0,4,0
"1134662",2894,118,64,2,2,0
"1134663",2895,0,0,0,0,0
"1134664",2896,465,287,11,0,0
"1134665",2897,0,0,0,0,0
"1134667",2898,0,0,0,0,0
"1134673",2899,0,0,0,0,0
"1134674",2900,0,0,0,0,0
"1134675",2901,43,20,1,1,0
"1134677",2902,278,147,6,0,0
"1134678",2903,63,33,1,0,0
"1150001",2904,219,409,3,2,0
"1150002",2905,205,427,7,2,0
"1150003",2906,200,902,7,1,0
"1150004",2907,137,814,5,0,0
"1150005",2908,12,88,0,0,0
"1150011",2909,8,96,0,0,0
"1150012",2910,9,49,2,0,0
"1150013",2911,9,88,0,0,0
"1150017",2912,4,59,1,0,0
"1170001",2913,277,658,7,1,0
"1170002",2914,324,550,10,4,0
"1170003",2915,333,1404,11,6,0
"1170004",2916,329,681,7,6,0
"1190001",2917,72,501,5,1,0
"1190003",2918,69,192,2,2,0
"1190004",2919,61,350,6,0,0
"1190005",2920,99,507,5,0,0
"1190007",2921,20,157,2,0,0
"1190009",2922,21,199,0,0,0
"1190010",2923,61,256,4,0,0
"1211000",2924,429,1842,28,5,1
"1211001",2925,227,894,10,1,0
"1211002",2926,33,127,1,0,0
"1211003",2927,301,1102,14,4,0
"1211004",2928,562,1586,41,8,0
"1211005",2929,0,2,0,0,0
"1211006",2930,2,0,0,0,0
"1211007",2931,270,754,13,1,0
"1211008",2932,562,1976,29,3,0
"1211009",2933,24,128,3,1,0
"1211010",2934,591,2086,32,6,2
"1211011",2935,243,1028,20,3,0
"1211012",2936,253,318,10,1,1
"1211013",2937,801,1004,35,4,0
"1211014",2938,1003,950,22,5,0
"1211015",2939,406,455,21,2,0
"1211016",2940,1188,1468,30,4,0
"1211017",2941,975,1206,26,2,1
"1211018",2942,268,224,2,1,0
"1211019",2943,979,1234,18,3,0
"1211020",2944,762,1007,13,6,0
"1211021",2945,1101,1387,28,9,2
"1211022",2946,1495,1474,16,4,0
"1211023",2947,820,908,19,2,0
"1211024",2948,1257,1521,23,4,0
"1211025",2949,698,837,17,2,0
"1211026",2950,1528,2841,20,5,0
"1211027",2951,305,240,5,1,0
"1211028",2952,103,82,2,1,1
"1211029",2953,32,26,0,0,0
"1211030",2954,7,5,0,0,0
"1211031",2955,1008,859,23,6,1
"1211032",2956,1565,2102,36,3,1
"1211033",2957,924,1371,29,6,1
"1211034",2958,366,311,10,2,0
"1211035",2959,1800,1528,42,8,4
"1211036",2960,1375,1456,33,5,2
"1211037",2961,656,577,9,3,0
"1211038",2962,531,415,14,2,0
"1211039",2963,341,274,8,1,0
"1211040",2964,433,336,11,0,0
"1211041",2965,1595,1462,38,10,3
"1211042",2966,980,985,22,4,3
"1211043",2967,800,650,12,1,0
"1211044",2968,444,689,15,1,1
"1211045",2969,996,1546,34,5,1
"1211046",2970,201,429,2,4,1
"1211047",2971,1544,1185,40,3,0
"1211048",2972,1400,840,25,8,1
"1211049",2973,1423,1487,37,7,6
"1211050",2974,171,184,4,1,1
"1211051",2975,231,221,5,2,0
"1211052",2976,1065,1016,19,3,0
"1211053",2977,163,253,6,1,1
"1211054",2978,837,1058,32,4,0
"1211055",2979,319,405,9,1,0
"1211056",2980,405,469,13,6,1
"1211057",2981,278,243,10,2,0
"1211058",2982,931,804,31,5,0
"1211059",2983,1127,907,34,15,3
"1211060",2984,543,415,19,7,2
"1211061",2985,1331,852,45,11,2
"1211062",2986,1147,649,20,8,1
"1211063",2987,628,702,23,8,2
"1211064",2988,1196,966,37,9,1
"1211065",2989,349,383,14,5,0
"1211066",2990,66,71,2,1,0
"1212067",2991,568,635,18,6,0
"1212068",2992,1291,1600,46,2,1
"1212069",2993,952,1032,31,4,3
"1212070",2994,61,71,0,0,0
"1212071",2995,1230,2190,46,7,4
"1212072",2996,1077,1683,58,7,1
"1212073",2997,1120,1917,54,7,3
"1212074",2998,479,1274,19,3,0
"1212075",2999,195,306,4,1,0
"1212076",3000,1077,913,50,5,5
"1212077",3001,1352,1125,35,5,4
"1212078",3002,741,657,18,7,1
"1212079",3003,1068,1528,27,5,3
"1212080",3004,1046,1156,19,3,1
"1212081",3005,1634,1384,29,5,3
"1212082",3006,530,438,9,2,0
"1212083",3007,701,737,9,3,0
"1212084",3008,1176,1469,43,12,2
"1212085",3009,1197,1592,56,6,0
"1212086",3010,956,1333,41,6,1
"1212087",3011,1446,1463,39,6,1
"1212088",3012,770,819,33,8,0
"1212089",3013,982,1498,19,0,0
"1212090",3014,1589,1467,47,6,3
"1212091",3015,1422,2127,24,5,0
"1212092",3016,1767,1139,38,9,0
"1212093",3017,171,107,2,0,0
"1212094",3018,1461,875,19,4,0
"1212095",3019,994,1183,29,4,1
"1212096",3020,1258,1613,29,3,0
"1212097",3021,1749,1544,39,6,3
"1212098",3022,225,142,4,1,0
"1212099",3023,1020,1285,27,5,2
"1212100",3024,1770,648,40,12,1
"1212101",3025,1954,568,32,12,1
"1212102",3026,2183,1042,47,13,0
"1212103",3027,904,627,19,4,1
"1212104",3028,1377,1127,36,4,1
"1212105",3029,857,924,14,5,2
"1212106",3030,1593,1293,50,9,1
"1212107",3031,1480,1524,37,2,2
"1212108",3032,770,698,16,4,2
"1212109",3033,1626,1001,40,6,1
"1212110",3034,966,902,23,9,1
"1212111",3035,1800,1298,46,7,4
"1212112",3036,698,605,8,3,1
"1212113",3037,1336,1341,33,8,1
"1212114",3038,769,666,13,3,1
"1213115",3039,1424,846,25,6,2
"1213116",3040,2367,1395,38,9,3
"1213117",3041,423,200,10,1,0
"1213118",3042,855,785,12,3,2
"1213119",3043,61,57,1,1,0
"1213120",3044,701,649,13,4,0
"1213121",3045,810,640,18,3,2
"1213122",3046,1020,430,20,3,0
"1213123",3047,2217,1289,33,7,0
"1213124",3048,73,105,2,0,0
"1213125",3049,194,180,5,1,0
"1213126",3050,944,500,24,4,1
"1213127",3051,1744,683,29,16,4
"1213128",3052,1025,702,27,2,1
"1213129",3053,861,754,26,4,0
"1213130",3054,1757,1298,37,10,2
"1213131",3055,1409,1518,38,12,1
"1213132",3056,1197,990,30,8,1
"1213133",3057,1731,2011,65,19,5
"1213134",3058,666,865,24,5,4
"1213135",3059,1697,1548,41,11,6
"1213136",3060,660,720,15,5,0
"1213137",3061,994,931,32,6,0
"1213138",3062,1315,1602,26,7,2
"1213139",3063,1433,1948,38,12,9
"1213140",3064,1517,1851,36,6,3
"1213141",3065,974,2159,43,3,0
"1213142",3066,163,361,8,1,0
"1213143",3067,598,741,14,7,5
"1213144",3068,1315,1551,32,6,1
"1213145",3069,1553,1946,47,10,0
"1213146",3070,894,1170,28,2,2
"1213147",3071,1437,1933,60,5,6
"1213148",3072,839,1105,34,8,0
"1213149",3073,925,1198,26,5,0
"1213150",3074,809,1203,31,6,2
"1213151",3075,1064,1679,29,4,0
"1213152",3076,587,1104,31,3,1
"1213153",3077,836,1612,37,5,4
"1213154",3078,906,1549,30,6,0
"1213155",3079,1312,2108,36,7,0
"1213156",3080,191,526,4,0,0
"1213157",3081,74,210,1,0,0
"1213158",3082,945,1929,39,9,2
"1213159",3083,1166,1859,47,7,1
"1213160",3084,960,1706,30,5,0
"1214161",3085,1026,1040,37,2,1
"1214162a",3086,169,198,6,1,1
"1214162b",3087,34,40,1,0,0
"1214163",3088,1119,912,44,3,2
"1214164",3089,1568,1818,63,10,8
"1214165",3090,2610,1061,53,30,1
"1214166",3091,863,540,43,9,3
"1214167",3092,1718,688,35,16,5
"1214168",3093,899,305,21,14,4
"1214169",3094,1331,511,34,17,4
"1214170",3095,2251,395,60,19,2
"1214171",3096,184,65,4,2,0
"1214172",3097,1109,178,26,12,3
"1214173",3098,7,1,0,0,0
"1214174",3099,1005,162,22,8,2
"1214175",3100,160,51,7,2,0
"1214176",3101,975,1115,39,6,3
"1214177",3102,368,158,6,4,0
"1214178",3103,828,457,26,3,1
"1214179",3104,1142,1521,30,11,2
"1214180",3105,435,606,10,5,0
"1214181",3106,1541,1799,47,9,3
"1214182",3107,28,67,1,0,0
"1214183",3108,89,324,4,1,0
"1214184",3109,915,2183,57,5,0
"1214185",3110,426,1115,10,0,0
"1214186",3111,699,1837,18,2,1
"1214187",3112,914,248,21,14,1
"1214188",3113,0,1,0,0,0
"1214189",3114,134,327,4,1,0
"1214190",3115,572,1568,40,4,0
"1214191",3116,375,1065,21,4,2
"1214192",3117,271,774,20,4,0
"1214193",3118,631,2420,35,6,0
"1214194",3119,77,321,6,1,0
"1214195",3120,120,277,3,1,0
"1214196",3121,901,1984,26,1,1
"1214197",3122,244,891,8,2,2
"1214198",3123,525,1896,19,3,2
"1214199",3124,14,31,1,0,0
"1214200",3125,15,33,1,0,0
"1214201",3126,524,1137,27,2,1
"1214202",3127,1004,1989,34,3,4
"1214203",3128,820,1820,20,5,7
"1214204",3129,944,1559,29,6,6
"1214205a",3130,959,1845,25,6,1
"1214205b",3131,79,150,2,0,0
"1214206",3132,579,1496,19,4,3
"1214207",3133,270,862,11,1,0
"1214208",3134,337,790,15,1,1
"1214209",3135,655,1250,29,5,0
"1214210",3136,1389,2887,59,5,6
"1214211",3137,1057,2467,44,8,3
"1214212",3138,133,265,3,1,0
"1214213",3139,323,575,21,2,2
"1214214",3140,491,953,19,4,1
"1214215",3141,755,1357,35,7,1
"1214216",3142,308,682,10,2,1
"1214217",3143,387,853,16,3,1
"1214218",3144,102,236,3,1,1
"1214219",3145,489,1913,28,3,0
"1214220",3146,317,1278,23,3,1
"1214221",3147,51,86,3,1,0
"1214222",3148,897,1541,42,8,1
"1214223",3149,690,1242,36,3,0
"1214224",3150,418,740,11,2,0
"1219100",3151,0,0,0,0,0
"1219101",3152,0,0,0,0,0
"1219102",3153,0,0,0,0,0
"1219200",3154,0,0,0,0,0
"1219201",3155,0,0,0,0,0
"1219202",3156,0,0,0,0,0
"1219203",3157,0,0,0,0,0
"1219204",3158,0,0,0,0,0
"1219300",3159,0,0,0,0,0
"1219301",3160,0,0,0,0,0
"1219302",3161,0,0,0,0,0
"1219303",3162,0,0,0,0,0
"1219304",3163,0,0,0,0,0
"1230101",3164,213,996,10,1,0
"1230102",3165,321,259,10,2,0
"1230201",3166,51,322,1,1,0
"1230202",3167,142,620,2,0,0
"1230203",3168,91,616,2,0,0
"1230301",3169,127,877,5,1,0
"1230302",3170,136,674,3,1,0
"1230303",3171,51,251,0,2,0
"1230401",3172,284,1145,9,3,0
"1230402",3173,78,807,4,0,0
"1250001",3174,8,56,0,0,0
"1250002",3175,11,99,1,1,0
"1250003",3176,39,195,1,1,0
"1250004",3177,28,141,1,0,0
"1250005",3178,16,152,0,0,0
"1250006",3179,28,210,0,0,0
"1270001",3180,505,384,5,1,0
"1270002",3181,527,283,0,2,0
"1270003",3182,147,117,1,3,0
"1270004",3183,33,32,0,0,0
"1270005",3184,448,167,0,1,0
"1270006",3185,359,237,2,1,0
"1270007",3186,245,164,2,0,0
"1290101",3187,43,344,5,0,0
"1290201",3188,61,355,2,1,0
"1290301",3189,18,164,0,0,0
"1290303",3190,25,232,1,0,0
"1290401",3191,51,343,3,0,0
"1310001",3192,730,548,6,3,0
"1310002",3193,553,336,4,2,0
"1310003",3194,184,85,1,1,0
"1310004",3195,42,54,0,0,0
"1310005",3196,131,130,2,1,0
"1310006",3197,66,30,0,0,0
"1310007",3198,22,69,0,0,0
"1310008",3199,456,879,4,4,0
"1310009",3200,391,312,5,2,0
"1330001",3201,240,1649,17,4,0
"1330002",3202,29,230,5,0,0
"1330003",3203,166,870,10,3,0
"1330004",3204,20,223,3,0,0
"1330005",3205,52,417,3,0,1
"1330006",3206,25,248,1,0,0
"1330007",3207,146,1348,7,1,0
"1330008",3208,260,1822,12,4,0
"1330009",3209,45,430,2,0,0
"1350101",3210,330,1290,12,2,0
"1350102",3211,321,895,11,2,0
"1350103",3212,199,740,6,2,0
"1350104",3213,286,1026,9,1,0
"1350108",3214,210,1093,8,4,0
"1350109",3215,17,134,0,0,0
"1350110",3216,418,1421,16,2,0
"1350111",3217,318,1052,21,3,0
"1350201",3218,401,1707,15,3,0
"1350202",3219,374,1532,25,3,2
"1350203",3220,588,2448,27,4,0
"1350204",3221,414,1681,20,3,1
"1350205",3222,298,1045,21,6,0
"1350206",3223,177,809,14,2,0
"1350207",3224,99,1261,12,1,0
"1350208",3225,468,1571,24,3,1
"1350209",3226,264,809,10,1,0
"1350301",3227,504,915,13,3,0
"1350302",3228,183,452,11,1,0
"1350303",3229,339,667,7,4,0
"1350304",3230,90,162,5,0,0
"1350305",3231,125,182,1,1,1
"1350306",3232,232,365,1,2,0
"1350307",3233,411,765,14,1,0
"1350308",3234,145,446,4,1,2
"1350309",3235,203,588,17,1,0
"1350310",3236,174,603,8,3,0
"1350311",3237,178,453,4,0,0
"1350312",3238,218,653,17,3,1
"1350313",3239,109,496,8,1,0
"1350314",3240,200,674,5,1,0
"1350401",3241,149,290,4,1,0
"1350402",3242,523,415,6,3,1
"1350403",3243,694,545,4,6,0
"1350404",3244,247,662,6,2,0
"1350405",3245,202,212,4,1,0
"1350406",3246,501,777,13,6,0
"1350407",3247,302,1013,10,5,0
"1350408",3248,140,167,6,1,0
"1350409",3249,180,470,2,0,0
"1350412",3250,136,211,7,0,1
"1370001",3251,26,148,0,0,0
"1370002",3252,43,294,2,0,0
"1370003",3253,42,254,3,0,0
"1370004",3254,57,197,0,0,0
"1391001",3255,873,327,8,7,3
"1391002",3256,16,66,1,0,0
"1391003",3257,468,821,17,3,6
"1391004",3258,0,0,0,0,0
"1391005",3259,895,1561,35,6,6
"1391006",3260,788,1376,32,5,8
"1391007",3261,382,1109,17,0,0
"1391008",3262,27,78,2,0,0
"1391009",3263,511,1622,31,5,1
"1391010",3264,569,975,13,4,3
"1391011",3265,645,1329,17,4,5
"1391012",3266,914,1215,25,8,7
"1391013",3267,389,741,12,3,4
"1391014",3268,267,1151,9,2,5
"1391015",3269,520,1345,14,6,2
"1391016",3270,526,451,5,7,1
"1391017",3271,610,1305,15,7,3
"1391018",3272,666,714,15,4,2
"1391019",3273,398,1009,13,4,4
"1391020",3274,317,806,13,2,0
"1391021",3275,219,769,6,1,2
"1391022",3276,595,1459,18,4,4
"1391023",3277,0,0,0,0,0
"1391024",3278,433,997,21,6,3
"1391025",3279,648,1244,23,6,8
"1391026",3280,533,1176,34,8,10
