06/01/2022,Office of the Secretary of State,,,Generated By: 
,,,B G HUDSON MIDDLE SCHOOL-PRACTICE GYM,93362
,,,MT HOREB MISSIONARY BAPTIST CHUR-FELLOWSHIP HALL,93381
,,,BEAR CREEK COMMUNITY CHURCH-LOBBY BREEZEWAY,93385
,,,DISCIPLE CENTRAL COMM CHURCH-YOUTH ROOM 104,93392
,,,DUNCANVILLE LIBRARY-MTG RM 1-3,93393
,,,PLEASANT GROVE CTR-DALLAS CLG-COMMUNITY ROOM 108,93394
,,,WEST DALLAS CTR-DALLAS COLLEGE-MAIN LOBBY,93397
,,,FLORENCE RECREATION CENTER-EVENT CENTER,93398
,,,HIGHLAND HILLS LIBRARY-AUDITORIUM,93403
,,,IRVING ARTS CENTER-STE 200,93404
,,,IRVING CITY HALL-MAIN LOBBY,93405
,,,LAKESIDE ACTIVITY CENTER-LARGE ROOM,93407
,,,MARTIN WEISS RECREATION CENTER-AUDITORIUM,93412
,,,GARLAND CENTER-DALLAS COLLEGE-MAIN LOBBY,93421
,,,GREATER MT PLEASANT BAPTIST CHUR-CONFERENCE RM,92932
,,,IDEAL FAMILY CHURCH-MAIN GYM,92986
,,,RANGE ELEMENTARY SCHOOL-LIBRARY,93043
,,,SKILLMAN SOUTHWEST LIBRARY-AUDITORIUM,93163
,,,MAPLE LAWN ELEMENTARY SCHOOL-CAFETERIA,93197
,,,ARLINGTON PARK RECREATION CENTER-GYM,93198
,,,ESPERANZA MEDRANO ELEMENTARY SCH-FRONT ENTRY FOYER,93199
,,,NORTHLAKE ELEMENTARY SCHOOL-HALLWAY/CAFE,93202
,,,STEVEN PARK ELEMENTARY SCHOOL-AUDITORIUM FOYER,93242
,,,CENTRAL CHRISTIAN CHURCH (COMMONS)-PARLOR,93243
,,,SAM TASBY M S-RM 114,92869
,,,LIVING WATERS CHURCH OF GOD-FELLOWSHIP HALL,93027
,,,"LAKE RIDGE ELEMENTARY SCHOOL-GYM, ENTER DOOR #8",93040
,,,MATH/SCIENCE TECHNOLOGY MAGNET-GYM LOBBY,93059
,,,TISINGER ELEMENTARY SCHOOL-FRONT FOYER,93087
,,,MACARTHUR HIGH SCHOOL-SPECTATOR GYM FOYER,93334
,,,THURGOOD MARSHALL ELEMENTARY SCHOOL-LARGE ROOM,95132
,,,"W T WHITE HIGH SCHOOL-H101, 102, 103",95970
,,,HILLCREST HIGH SCHOOL-AUDITORIUM,95971
,,,MLK RECREATION CENTER-MULTI-PURPOSE ROOM,95961
,,,SOLAR PREPATORY SCHOOL FOR GIRLS-BONHAM BLDG VESTIBULE,95967
,,,JAYCEE ZARAGOZA RECREATION CENTER-ARTS & CRAFT ROOM,96416
,,,WILLIAM B TRAVIS VANGUARD ACAD-AUDITORIUM,95972
,,,FIRESIDE RECREATION CENTER-GYM,95973
,,,ALFRED J LOOS SPORTS COMPLEX-GYMNASIUM,95335
,,,AUDELIA ROAD BRANCH LIBRARY-AUDITORIUM,96410
,,,THE BRANCH CONNECTION ADULT CENTER-BALL ROOM,95968
,,,HARRY STONE RECREATION CENTER-MULTI-PURPOSE ROOM 104,95338
,,,ELECTIONS OFFICE-TRAINING LABS,96201
,,,HAMILTON PARK UNITED METHODIST-B4,95956
,,,IGNITE MIDDLE SCHOOL-MAIN ENTRANCE,95969
,,,HIGHLAND PARK MULTI-USE BLDG-UPSTAIRS ROOM,97202
,,,FLOYD ELEMENTARY SCHOOL-GYM,96718
,,,HENRIE ELEMENTARY SCHOOL-GYM,96719
,,,MICHAEL J FELIX COMMUNITY CENTER-#E,97133
,,,E D WALKER MIDDLE SCHOOL-AUDITORIUM,96717
,,,LIFE IN DEEP ELLUM COMMUNITY CTR-PRAYER & PRACTICE CENTER,96724
,,,FISCAL ADMINISTRATION BLDG-GP-BACK ENTRANCE-1ST RM,96710
,,,EVANS RECREATION CENTER-RESERVATION ROOM,97137
,,,"KIM LEWIS AUXILIARY SERVICES CTR-TRAINING ROOM, ENTER DOOR #1",96723
,,,F D ROOSEVELT HIGH SCHOOL-LIBRARY,96669
,,,BELT LINE CONFERENCE CENTER-CONFERENCE CENTER,96714
