06/01/2022,Office of the Secretary of State,,,Generated By: 
,,,IGLESIA UNA LUZ EN TU CAMINO-9045 HOWARD DRIVE,95658
,,,GREEN HOUSE INTERNATIONAL CHURCH-200 WEST GREENS ROAD,95649
,,,WISDOM HIGH SCHOOL-6529 BEVERLY HILL STREET,96118
,,,MILTON LUSK ACTIVITY CENTER-1022 MERCURY DRIVE,95653
,,,MARTIN FLUKINGER COMMUNITY CENTER-16003 LORENZO STREET,94968
,,,HARRIS COUNTY ADMINISTRATION BUILDING-1001 PRESTON STREET,96525
,,,CITY OF SOUTH HOUSTON MUNICIPAL COURT-1019 DALLAS STREET,96480
,,,VICTORY HOUSTON-809 WEST ROAD,95632
,,,BARWOOD HOME OWNERS CLUBHOUSE-13003 ASTE LANE,95713
,,,HCC CENTRAL CAMPUS-1300 HOLMAN STREET,96018
,,,RAY K DAILY ELEMENTARY SCHOOL-12909 BRIAR FOREST DRIVE,96053
,,,LONE STAR COLLEGE NORTH HARRIS-2700 WW THORNE DRIVE,95650
,,,WEST END MULTI SERVICE CENTER-170 HEIGHTS BOULEVARD,95662
,,,GOOSE CREEK MEMORIAL HIGH SCHOOL-6001 EAST WALLISVILLE ROAD,95690
,,,BAYTOWN JUNIOR HIGH-7707 BAYWAY DRIVE,95698
,,,EICKENROHT ELEMENTARY SCHOOL-15252 GRAND POINT ROAD,95756
,,,WOODVIEW ELEMENTARY SCHOOL-9749 CEDARDALE DRIVE,96031
,,,ISGH BEAR CREEK COMMUNITY CENTER-17250 COVENTRY PARK DRIVE,95647
,,,WILLBERN ELEMENTARY SCHOOL-10811 GOODSPRING DRIVE,95745
,,,MARRIOTT HOUSTON SOUTH AT HOBBY AIRPORT-9100 GULF FREEWAY,95663
,,,HCPL NORTHWEST LIBRARY-11355 REGENCY GREEN DRIVE,95765
,,,MASJID EL FAROOQ-1207 CONRAD SAUER,96003
,,,BERRY CENTER OF NORTHWEST HOUSTON-8877 BARKER CYPRESS ROAD,96096
,,,ABOVE AND BEYOND FELLOWSHIP-20498 RHODES ROAD,96699
,,,KATY VISITORS CENTER-5718 2ND STREET,97237
,,,COURTYARD BY MARRIOTT HOUSTON NORTHWEST-11050 LOUETTA ROAD,96747
,,,HARRIS COUNTY SHERIFF'S OFFICE-701 SAN JACINTO STREET,96750
,,,HOUSTON MARRIOTT WEST LOOP BY THE GALLERIA-1750 W LOOP SOUTH,96751
,,,SALYERS ELEMENTARY SCHOOL-25705 WEST HARDY ROAD,97250
,,,CROSBY CHURCH AFOB-30673 HUFFMAN CLEVELAND ROAD,96803
,,,HOUSTON COMMUNITY COLLEGE NORTHLINE CAMPUS-8001 FULTON STREET,96737
,,,C E KING HIGH SCHOOL-11433 EAST SAM HOUSTON PARKWAY NORTH,97102
,,,EVELYN KENNEDY CIVIC CENTER-618 SAN JACINTO STREET,97103
,,,CLAUGHTON MIDDLE SCHOOL-3000 SPEARS ROAD,97162
,,,RICE UNIVERSITY-WELCOME CENTER-6100 MAIN STREET,96704
,,,GRACE VIEW BAPTIST CHURCH-21206 TELGE ROAD,97252
,,,SAN JACINTO COLLEGE GENERATION PARK-13455 LOCKWOOD ROAD,97106
,,,SINCLAIR ELEMENTARY SCHOOL-6410 GROVEWOOD LANE,97164
,,,MASJID ALSALAM-16700 OLD LOUETTA ROAD,96680
,,,STEVE RADACK COMMUNITY CENTER-18650 CLAY ROAD,96682
,,,SHELDON EDUCATION AND COMMUNITY CENTER-8530 C E KING PARKWAY,96683
,,,PALM CENTER-5300 GRIGGS ROAD,97238
,,,HCC ALIEF CENTER-13803 BISSONNET STREET,96686
,,,JONES MIDDLE SCHOOL-20155 TOWNSEN BOULEVARD WEST,97197
,,,IGLESIA BAUTISTA CAMINANDO CON JESUS-6515 EDDIE DRIVE,96757
,,,GARCIA MIDDLE SCHOOL-11000 ROSSLYN ROAD,97196
,,,KATY CIVIC CENTER-910 AVENUE C,96702
,,,HAMPTON INN & SUITES HOUSTON/ATASCOCITA-19108 MOON TRAIL DRIVE,96783
,,,FAIRFIELD CHURCH OF CHRIST-20402 CHAPPELL KNOLL DRIVE,97104
,,,HOLIDAY INN EXPRESS & SUITES HOUSTON SW - GALLERIA AREA-6978 WINDWATER PARKWAY NORTH,97236
,,,LA QUINTA INN & SUITES BY WYNDHAM HOUSTON GALLERIA-1625 WEST LOOP SOUTH,96819
,,,EBNEZER UNITED METHODIST CHURCH-7302 N MAIN STREET,97163
,,,COURTYARD BY MARRIOTT HOUSTON I-10 WEST ENERGY CORRIDOR-12401 KATY FREEWAYÂ ,97251
,,,WESTFIELD HIGH SCHOOL-16713 ELLA BOULEVARD,97253
,,,NEW LIFE CHURCH ON NORTHPARK-4032 NORTHPARK DRIVE,97255
,,,UNIVERSITY OF HOUSTON STUDENT CENTER-4455 UNIVERSITY DRIVE,96685
,,,WORLD CHANGERS CHURCH HOUSTON-7934 HIGHWAY 6 NORTH,96758
,,,BRISCOE ELEMENTARY SCHOOL-321 FOREST HILL BOULEVARD,96759
,,,JUDSON ROBINSON SENIOR COMMUNITY CENTER-1422 LEDWICKE STREET,97105
,,,ALIEF ISD CENTER FOR TALENT DEVELOPMENT-14411 WESTHEIMER ROAD,96740
,,,FINNIGAN PARK COMMUNITY CENTER-4900 PROVIDENCE STREET,97194
